5,McLaren Mercedes,6,6,7,,2,78
2,Ferrari,6,7,8,,1,78
21,Toyota,6,10,9,,0,77
11,Jordan Ford,6,12,10,,0,77
9,Sauber Petronas,6,14,11,,0,76
12,Jordan Ford,6,16,12,,0,76
20,Toyota,6,17,13,,0,74
16,BAR Honda,6,11,NC,DNF,0,63
18,Minardi Cosworth,6,19,NC,DNF,0,29
19,Minardi Cosworth,6,18,NC,DNF,0,28
14,Jaguar Cosworth,6,9,NC,DNF,0,16
15,Jaguar Cosworth,6,13,NC,DNF,0,10
10,Sauber Petronas,6,15,NC,DNF,0,0
1,Ferrari,7,3,1,,10,70
4,Williams BMW,7,1,2,,8,70
3,Williams BMW,7,2,3,,6,70
8,Renault,7,4,4,,5,70
2,Ferrari,7,5,5,,4,70
6,McLaren Mercedes,7,20,6,,3,70
14,Jaguar Cosworth,7,6,7,,2,69
20,Toyota,7,7,8,,1,69
19,Minardi Cosworth,7,15,9,,0,68
15,Jaguar Cosworth,7,13,10,DNF,0,66
21,Toyota,7,9,11,DNF,0,64
18,Minardi Cosworth,7,18,NC,DNF,0,60
17,BAR Honda,7,17,NC,DNF,0,51
5,McLaren Mercedes,7,11,NC,DNF,0,47
9,Sauber Petronas,7,12,NC,DNF,0,47
7,Renault,7,8,NC,DNF,0,22
11,Jordan Ford,7,16,NC,DNF,0,20
12,Jordan Ford,7,19,NC,DNF,0,20
16,BAR Honda,7,14,NC,DNF,0,14
10,Sauber Petronas,7,10,NC,DNF,0,6
4,Williams BMW,8,3,1,,10,60
3,Williams BMW,8,4,2,,8,60
2,Ferrari,8,5,3,,6,60
8,Renault,8,8,4,,5,60
1,Ferrari,8,2,5,,4,60
14,Jaguar Cosworth,8,11,6,,3,59
17,BAR Honda,8,12,7,,2,59
9,Sauber Petronas,8,20,8,,1,59
10,Sauber Petronas,8,15,9,,0,59
15,Jaguar Cosworth,8,16,10,,0,59
12,Jordan Ford,8,14,11,,0,58
11,Jordan Ford,8,13,12,,0,58
18,Minardi Cosworth,8,19,13,,0,58
19,Minardi Cosworth,8,18,14,,0,57
5,McLaren Mercedes,8,9,15,DNF,0,56
21,Toyota,8,10,NC,DNF,0,53
16,BAR Honda,8,17,NC,DNF,0,51
7,Renault,8,6,NC,DNF,0,37
20,Toyota,8,7,NC,DNF,0,37
6,McLaren Mercedes,8,1,NC,DNF,0,25
4,Williams BMW,9,1,1,,10,70
3,Williams BMW,9,2,2,,8,70
1,Ferrari,9,3,3,,6,70
6,McLaren Mercedes,9,4,4,,5,70
5,McLaren Mercedes,9,5,5,,4,70
14,Jaguar Cosworth,9,9,6,,3,70
2,Ferrari,9,8,7,,2,69
20,Toyota,9,10,8,,1,69
16,BAR Honda,9,12,9,,0,69
15,Jaguar Cosworth,9,11,10,,0,69
21,Toyota,9,13,11,,0,69
10,Sauber Petronas,9,16,12,,0,68
9,Sauber Petronas,9,15,13,,0,68
18,Minardi Cosworth,9,20,14,,0,67
12,Jordan Ford,9,18,15,,0,67
19,Minardi Cosworth,9,19,16,,0,66
7,Renault,9,6,NC,DNF,0,45
8,Renault,9,7,NC,DNF,0,43
11,Jordan Ford,9,17,NC,DNF,0,42
17,BAR Honda,9,14,NC,DNF,0,21
2,Ferrari,10,1,1,,10,60
3,Williams BMW,10,7,2,,8,60
6,McLaren Mercedes,10,3,3,,6,60
1,Ferrari,10,5,4,,5,60
5,McLaren Mercedes,10,12,5,,4,60
7,Renault,10,2,6,,3,60
21,Toyota,10,6,7,,2,60
17,BAR Honda,10,20,8,,1,60
4,Williams BMW,10,4,9,,0,60
16,BAR Honda,10,9,10,,0,60
20,Toyota,10,13,11,,0,60
10,Sauber Petronas,10,14,12,,0,60
12,Jordan Ford,10,17,13,,0,59
14,Jaguar Cosworth,10,11,14,,0,59
19,Minardi Cosworth,10,19,15,,0,58
18,Minardi Cosworth,10,18,16,,0,58
9,Sauber Petronas,10,16,17,,0,58
8,Renault,10,8,NC,DNF,0,52
11,Jordan Ford,10,15,NC,DNF,0,44
15,Jaguar Cosworth,10,10,NC,DNF,0,32
3,Williams BMW,11,1,1,,10,67
5,McLaren Mercedes,11,10,2,,8,67
7,Renault,11,4,3,,6,67
8,Renault,11,8,4,,5,67
20,Toyota,11,7,5,,4,66
21,Toyota,11,9,6,,3,66
1,Ferrari,11,6,7,,2,66
17,BAR Honda,11,17,8,,1,66
16,BAR Honda,11,13,9,,0,65
9,Sauber Petronas,11,15,10,,0,65
14,Jaguar Cosworth,11,11,11,DNF,0,64
18,Minardi Cosworth,11,20,12,,0,62
11,Jordan Ford,11,12,13,DNF,0,60
19,Minardi Cosworth,11,19,NC,DNF,0,23
15,Jaguar Cosworth,11,16,NC,DNF,0,6
